product_name,barcode,category_level1,category_level2,category_level3,category_level4
POWER HEALTH POWER FOODS CHIOS MASTIC 20 TABS,5200321008364 5200321011036,FOOD SUPPL. & VITAMIN,HERBAL SUPPLEMENTS,OTH. HERBAL SUPPLEMENTS,
POWER HEALTH FLAT BELLY  FOOD SUPPLEMENT 10 TABS,5200321008531 5200321007442 5200321011159,FOOD SUPPL. & VITAMIN,SPECIAL FOOD SUPPL.,GASTROINTESTINAL SUPPLEMENTS,PROBIOTICS
POWER HEALTH CLASSICS PLATINUM RANGE VITAMIN B50 COMPLEX 30 CAPS,5200321008715,FOOD SUPPL. & VITAMIN,ΒΙΤΑΜΙΝΕΣ,VITAMIN B,
POWER HEALTH CLASSICS PLATINUM RANGE CALCIUM PLUS 30 TABS,5200321008739,FOOD SUPPL. & VITAMIN,MINERALS,CALCIUM,
POWER HEALTH CLASSICS PLATINUM RANGE ZINC PLUS VITAMIN-C 30 TABS,5200321008746,FOOD SUPPL. & VITAMIN,MINERALS,ZINC,
POWER HEALTH CLASSICS PLATINUM RANGE MULTI SENIOR 50+ 30 TABS,5200321008760,FOOD SUPPL. & VITAMIN,ΒΙΤΑΜΙΝΕΣ,MULTIVITAMIN,
POWER HEALTH CLASSICS PLATINUM RANGE COQ10 30MG 30 CAPS,5200321008777,FOOD SUPPL. & VITAMIN,COQ10,,
POWER HEALTH CLASSICS PLATINUM RANGE LECITHIN 1200MG 60 CAPS,5200321008784,FOOD SUPPL. & VITAMIN,HERBAL SUPPLEMENTS,LECITHIN,
POWER HEALTH CLASSICS PLATINUM RANGE OMEGA 3-6-9 30 CAPS,5200321008869,FOOD SUPPL. & VITAMIN,FATTY ACIDS,FATTY ACIDS COMPLEX,
POWER HEALTH CLASSICS PLATINUM RANGE HAIR TÎNE NAILS 30 CAPS,5200321008876,FOOD SUPPL. & VITAMIN,SPECIAL FOOD SUPPL.,BEAUTY SUPPLEMENTS,
POWER HEALTH POWER HEALTH XS CLA MAX 1900MG 60 CAPS,5200321008883 5200321012705,FOOD SUPPL. & VITAMIN,FATTY ACIDS,CLA,
POWER HEALTH CLASSICS PLATINUM RANGE MEMO+ 30 CAPS,5200321009019,FOOD SUPPL. & VITAMIN,SPECIAL FOOD SUPPL.,NERVOUS SYSTEM & MEMORY SUP.,MEMORY SUPPLEMENTS
POWER HEALTH VIT C CARAMELS 60 GR,5200321009095,FOOD SUPPL. & VITAMIN,ΒΙΤΑΜΙΝΕΣ,VITAMIN C,
POWER HEALTH FLORADIX KINDERVITAL SYRUP 250 ML,5200321009149 4004148057069,FOOD SUPPL. & VITAMIN,ΒΙΤΑΜΙΝΕΣ,MULTIVITAMIN,
POWER HEALTH MASTIDENT 75 ML,5200321009248,TOILETR & PERSONAL CARE,ΣΤΟΜΑΤΙΚΗ ΥΓΙΕΙΝΗ,TOOTHPASTES,CLASSIC TOOTHPASTE
POWER HEALTH MASTIDENT MOUTHWASH 250 ML,5200321009255,TOILETR & PERSONAL CARE,ΣΤΟΜΑΤΙΚΗ ΥΓΙΕΙΝΗ,MOUTHWASHES,CLASSIC MOUTHWASH
POWER HEALTH OLIVIOTIC FOOD SUPPLEMENT 20 CAPS,5200321009385 5200321010312,FOOD SUPPL. & VITAMIN,HERBAL SUPPLEMENTS,SUPERFOODS,OLIVE LEAF
POWER HEALTH DICTAMON CARAMELS FOR COUGH RELIEF 60 GR,5200321009392,PHARMACEUTICALS,COUGH RELIEVER/ SORETH,SORETHROAT LOZENGES,
POWER HEALTH CLASSICS PLATINUM RANGE COOL NIGHT MELATONIN 30 TABS,5200321009408,FOOD SUPPL. & VITAMIN,SPECIAL FOOD SUPPL.,NERVOUS SYSTEM & MEMORY SUP.,SLEEP SUPPLEMENTS
POWER HEALTH POWER OF NATURE PLATINUM RANGE LIVAPURE 30 PCS,5200321009439,FOOD SUPPL. & VITAMIN,FOOD SUPPL. COFFRET,,
